GameID,Titles,YearReleased,Ranking,min_players,max_players,NumRatings,AvgRating,weighted_avg,#_of_awards,ExpansionFlag,#_of_expansion_sets,LicensedType,ClassicFlag,Category,boardgame_category
15192,Shapes Up,1999,15192,2,4,92,5.4235,5.8761,3,N,0,Original,Modern,Board,"['Abstract Strategy', 'Educational', 'Party Game', 'Puzzle']"
15193,Trivial Pursuit  Volume II,1987,15193,2,6,60,5.3350,5.9335,0,N,0,Original,Classic,Board,"['Party Game', 'Trivia']"
15194,Upturn,2006,15194,2,4,37,5.1027,5.9712,0,N,0,Original,Modern,Board,['Number']
15195,Deck Building  The Deck Building Game,2015,15195,2,2,366,5.4561,5.6356,0,Y,1,Original,Modern,Card,['Card Game']
15196,The Best of TV and Movies,2012,15196,2,6,96,5.4617,5.8856,0,N,0,Original,Modern,Board,"['Movies / TV / Radio theme', 'Party Game', 'Trivia']"
15197,Cowpoker,2006,15197,2,4,265,5.4333,5.6687,0,N,0,Original,Modern,Card,"['American West', 'Card Game', 'Humor']"
15198,Star Wars  I've Got a Bad Feeling About This!,2018,15198,2,8,54,5.3537,5.9634,0,N,0,Movie_IP,Modern,Card,"['Card Game', 'Humor', 'Movies / TV / Radio theme', 'Party Game']"
15199,DIG IT UP,2018,15199,2,5,46,5.5685,6.0645,0,N,0,Original,Modern,Board,['Korea Boardgames co.']
15200,Squeeky,2003,15200,2,6,49,5.3694,5.9890,1,N,0,Original,Modern,Dice,"['Animals', 'Childrens Game', 'Dice', 'Racing']"
15201,1944  Second Front,1990,15201,1,2,31,5.2823,6.0535,0,N,0,Original,Modern,Board,"['Wargame', 'World War II']"
15202,Monster Misfits,2016,15202,2,5,47,5.5426,6.0528,0,Y,1,Original,Modern,Card,['Card Game']
15203,Throw 'n Go Jenga,1986,15203,1,99,78,5.3615,5.8846,1,N,0,Original,Classic,Board,"['Action / Dexterity', 'Childrens Game', 'Party Game']"
15204,Night of the Ill-Tempered Squirrel,2000,15204,3,6,44,5.1705,5.9497,0,N,0,Original,Modern,Card,"['Bluffing', 'Card Game', 'Horror', 'Movies / TV / Radio theme']"
15205,M.I.G. (Mobile Intelligence Games),2001,15205,2,6,47,5.2872,5.9712,0,N,0,Original,Modern,Board,['Trivia']
15206,Farkle Frenzy,2011,15206,2,4,33,4.9576,5.9614,0,N,0,Original,Modern,Dice,['Dice']
15207,Travel September,1985,15207,2,2,42,5.2024,5.9701,0,N,0,Original,Modern,Board,['Abstract Strategy']
15208,Tor,1995,15208,2,2,40,5.2375,5.9911,0,N,0,Original,Modern,Card,"['Card Game', 'Sports']"
15209,Speed Snacks,2015,15209,2,2,52,5.3529,5.9711,0,Y,2,Original,Modern,Card,['Card Game']
